sdss_name_j,sdss_name,fitsname,zqso,zabs,snr_m_3934,snr_m_3969,snr_3934_center,snr_3969_center,ew1,ew2,drift1,drift2,fwhm1,fwhm2,ew1_err,ew2_err,FWHM1,FWHM2,RA_j,DEC_j,PLATE_j,FIBER_j,MJD_j
SDSS J102117.74+131545.9,SDSS J102117.74+131545.9,spSpec-53062-1746-491.fit,1.575101018,0.482370824,3.045843607,2.84916944,3.033180998,2.832283949,0.338033927,0.525505984,-0.156168822,0.259563765,1.646288339,3.001460991,0.110982037,0.184441815,1.539063649,2.124999501,155.323935,13.262757,1746,491,53062
SDSS J021820.11-083259.5,SDSS J021820.11-083259.5,spec-4395-55828-0780.fits,1.218999982,0.589617372,8.905450204,3.399237036,9.246138288,3.399237038,0.909235383,0.503753296,-0.247857034,0.572061246,4.323515701,5.37540968,0.102098756,0.148195989,2.397847867,1.102375136,34.58378361,-8.549853482,4395,780,55828
SDSS J105029.18+291639.9,SDSS J105029.18+291639.9,spec-6449-56356-0820.fits,2.289000034,1.0300318,3.074814869,2.851937886,3.001655416,2.839465374,0.317456904,0.239098878,-0.567801769,1.639394514,1.963874216,1.583997281,0.103244233,0.083837337,1.393731148,1.750261224,162.6215863,29.27774999,6449,820,56356
SDSS J085512.32+251208.6,SDSS J085512.32+251208.6,spec-5179-55957-0302.fits,2.279999971,0.860748768,4.268396174,2.633949802,4.268396176,2.634905305,0.299547325,0.175473706,-1.797542528,0.058286582,1.228087587,1.698980728,0.070177957,0.066619989,1.693246311,1.569413842,133.8013523,25.20238526,5179,302,55957
SDSS J121026.01+651625.2,SDSS J121026.01+651625.2,spSpec-52317-0599-462.fit,1.671733975,1.019238591,4.617649908,2.204270117,4.617649909,2.249251866,0.467842635,0.220124524,-0.11583959,0.202541663,2.151911692,1.782918233,0.101316177,0.099862772,2.765576786,1.156082042,182.608389,65.273676,599,462,52317
SDSS J224942.87-103011.3,SDSS J224942.87-103011.3,spSpec-52201-0723-047.fit,1.680855989,0.612395227,3.244287192,3.018835526,3.279818776,3.01883553,0.680849379,0.320558485,0.567809072,-0.159816915,3.239366324,1.545745118,0.209861008,0.106186138,2.46767395,2.498065415,342.428635,-10.503141,723,47,52201
SDSS J155023.15+555148.4,SDSS J155023.15+555148.4,spSpec-52072-0617-065.fit,1.062883973,0.674768329,3.023008702,2.767368177,3.025966358,2.76736818,0.55326871,0.30986881,1.196960001,-0.703971592,2.479338155,1.574211299,0.183019225,0.111972383,1.361268993,1.598378126,237.596447,55.863444,617,65,52072
SDSS J093543.38+201403.2,SDSS J093543.38+201403.2,spSpec-53762-2361-371.fit,1.01195395,0.899837613,3.274469723,3.285474739,3.274469725,3.285474742,0.491016582,0.379979804,0.61702863,1.232439181,1.613580838,1.383198619,0.149953007,0.115654459,3.089240679,2.186278159,143.930739,20.23422,2361,371,53762
SDSS J223401.54-023117.4,SDSS J223401.54-023117.4,spec-4380-55857-0028.fits,2.201999903,0.985086679,3.318211464,2.93326311,3.441006034,2.94574396,0.947853047,0.935477227,-0.470514507,0.242181152,1.584841618,1.731689985,0.285651791,0.318920326,1.67981603,1.639937455,338.5064256,-2.521508709,4380,28,55857
SDSS J081225.08+501845.4,SDSS J081225.08+501845.4,spec-3688-55273-0738.fits,2.607000113,1.139018893,3.677396764,2.660822925,3.897565784,2.676630854,0.440528374,0.363019752,0.021955386,1.766858188,1.261546024,1.657613631,0.119793539,0.136431383,1.122823485,1.764882331,123.1044897,50.31261837,3688,738,55273
